,model_type,host,date,dataset,	noise,angle,nominal_sig_frac,sig_frac,max_epochs,epochs,train_n_events,valid_n_events,train_time,eval_acc,train_acc,test_acc,eval_loss,train_loss,test_loss,weighted_n_events,n_raw_bkgd,n_raw_sig,n_pass_bkgd,n_pass_sig,raw_signif,pass_signif,cm_train,cm_valid,cm_weighted,opt_reg_thresh,layers
87,regressor,charmander,2020.07.13_09:37:18,q619n69p,0.25,1.7,0.0318,0.0318,2000,511,15000,5000,60.3172,0.7766,0.7765,0.7766,0.3444,0.3762,0.3506,100000,15751,3172,505,1927,23.059,39.075,7251:235:2887:4627,2439:75:966:1520,93599:3221:1249:1931,0.7289950045943259,
88,relegator,charmander,2020.07.13_09:38:59,qjl74end,0.25,1.7,0.0318,0.0318,2000,432,15000,5000,60.0095,0.7633,0.7632,0.7633,0.541,0.5978,0.5301,100000,15475,3167,1627,2413,23.195,37.964,6655:858:1618:5869,2212:275:0:528:1985:0:0:0:1,85375:11445:717:2463,,
89,regressor,charmander,2020.07.13_09:40:05,qjl74end,0.25,1.7,0.0318,0.0318,2000,464,15000,5000,53.364,0.7774,0.7774,0.7775,0.3421,0.3716,0.3357,100000,15475,3167,344,1848,23.195,39.471,7305:180:3117:4398,2458:57:1012:1473,94569:2251:1325:1855,0.7695868736505509,
90,relegator,charmander,2020.07.13_09:41:56,qjl74end,0.25,1.7,0.0318,0.0318,2000,702,15000,5000,96.9534,0.7755,0.7756,0.7755,0.4929,0.5466,0.49,100000,15475,3167,565,2022,23.195,39.754,5687:369:1460:745:5044:1695:0:0:0,1846:113:525:254:1704:558:0:0:1,72456:4764:19600:338:2121:721:0:0:0,,
91,regressor,charmander,2020.07.13_09:43:07,qjl74end,0.25,1.7,0.0318,0.0318,2000,513,15000,5000,59.675,0.7815,0.7814,0.7815,0.3388,0.3703,0.3492,100000,15475,3167,872,2181,23.195,39.472,7180:426:2275:5119,2260:134:799:1807,91246:5574:992:2188,0.6498701125383377,
92,relegator,charmander,2020.07.13_09:44:18,qjl74end,0.25,1.7,0.0318,0.0318,2000,419,15000,5000,56.4096,0.7709,0.7709,0.771,0.5401,0.5827,0.5397,100000,15475,3167,1786,2464,23.195,37.796,6669:875:1563:5893,2150:306:0:525:2019:0:0:0:1,85008:11812:689:2491,,
93,regressor,charmander,2020.07.13_09:45:21,qjl74end,0.25,1.7,0.0318,0.0318,2000,430,15000,5000,50.2176,0.7698,0.7697,0.7698,0.3392,0.3684,0.3416,100000,15475,3167,320,1812,23.195,39.243,7357:171:3156:4316,2426:46:1057:1471,94724:2096:1361:1819,0.7801803922653199,
94,relegator,charmander,2020.07.13_09:46:32,qjl74end,0.25,1.7,0.0318,0.0318,2000,409,15000,5000,56.9811,0.7411,0.741,0.7411,0.534,0.5754,0.5677,100000,15475,3167,1697,2436,23.195,37.891999999999996,6593:887:1520:6000,2181:339:0:537:1943:0:0:0:1,84565:12255:686:2494,,
95,regressor,charmander,2020.07.13_09:47:29,qjl74end,0.25,1.7,0.0318,0.0318,2000,392,15000,5000,44.5403,0.758,0.7579,0.758,0.3408,0.3687,0.337,100000,15475,3167,305,1793,23.195,39.145,7338:152:3214:4296,2463:47:1060:1430,94822:1998:1380:1800,0.7896260982751846,
96,relegator,charmander,2020.07.13_09:48:41,qjl74end,0.25,1.7,0.0318,0.0318,2000,431,15000,5000,59.2795,0.7201,0.72,0.7201,0.5493,0.6004,0.5453,100000,15475,3167,1764,2444,23.195,37.676,6600:903:1584:5913,2195:302:0:501:2002:0:0:0:1,84763:12057:711:2469,,
97,regressor,charmander,2020.07.13_09:49:53,qjl74end,0.25,1.7,0.0318,0.0318,2000,512,15000,5000,58.2799,0.7745,0.7745,0.7745,0.338,0.3645,0.3411,100000,15475,3167,975,2224,23.195,39.321,7006:471:2163:5360,2350:173:715:1762,90572:6248:949:2231,0.6499717310070992,
98,relegator,charmander,2020.07.13_09:51:58,rijybogq,0.25,1.7,0.0318,0.0318,2000,627,15000,5000,85.3307,0.7309,0.731,0.7309,0.4904,0.541,0.487,100000,15531,3173,368,1891,23.201,39.786,5235:201:2065:578:4553:2368:0:0:0,1776:68:655:194:1520:787:0:0:1,67779:2747:26294:235:1941:1004:0:0:0,,
99,regressor,charmander,2020.07.13_09:53:03,rijybogq,0.25,1.7,0.0318,0.0318,2000,467,15000,5000,53.2747,0.7826,0.7825,0.7826,0.3468,0.3736,0.3411,100000,15531,3173,243,1721,23.201,38.834,7390:106:3428:4076,2476:28:1134:1362,95226:1594:1454:1726,0.8000800907611847,
100,relegator,charmander,2020.07.13_09:54:26,rijybogq,0.25,1.7,0.0318,0.0318,2000,503,15000,5000,68.9467,0.7723,0.7723,0.7723,0.5412,0.5905,0.5282,100000,15531,3173,1254,2290,23.201,38.467,6739:823:1758:5680,2186:252:0:600:1962:0:0:0:1,86129:10691:769:2411,,
101,regressor,charmander,2020.07.13_09:55:40,rijybogq,0.25,1.7,0.0318,0.0318,2000,517,15000,5000,62.4209,0.7792,0.7792,0.7793,0.3457,0.3736,0.3449,100000,15531,3173,298,1793,23.201,39.211,7400:120:3285:4195,2429:51:1053:1467,94886:1934:1382:1798,0.7795161288976669,
102,relegator,charmander,2020.07.13_09:57:33,rijybogq,0.25,1.7,0.0318,0.0318,2000,731,15000,5000,99.1935,0.7451,0.7451,0.745,0.4846,0.5455,0.4987,100000,15531,3173,371,1885,23.201,39.686,5226:181:2115:549:4548:2381:0:0:0,1695:80:703:177:1503:842:0:0:1,66917:2718:27185:226:1937:1017:0:0:0,,
103,regressor,charmander,2020.07.13_09:58:36,rijybogq,0.25,1.7,0.0318,0.0318,2000,456,15000,5000,51.4822,0.7644,0.7644,0.7645,0.3451,0.376,0.3452,100000,15531,3173,388,1886,23.201,39.55,7311:188:3017:4484,2454:47:1034:1465,94316:2504:1289:1891,0.7500647976994514,
104,relegator,charmander,2020.07.13_10:00:24,rijybogq,0.25,1.7,0.0318,0.0318,2000,677,15000,5000,93.5747,0.7068,0.7068,0.7068,0.486,0.5456,0.5062,100000,15531,3173,387,1908,23.201,39.828,5178:209:2056:567:4662:2328:0:0:0,1731:79:747:194:1507:742:0:0:1,66839:2904:27077:229:1954:997:0:0:0,,
105,regressor,charmander,2020.07.13_10:01:43,rijybogq,0.25,1.7,0.0318,0.0318,2000,569,15000,5000,66.3304,0.7808,0.7808,0.7809,0.3455,0.3731,0.339,100000,15531,3173,253,1710,23.201,38.595,7329:108:3456:4107,2535:28:1098:1339,95195:1625:1465:1715,0.7999701142311096,
106,relegator,charmander,2020.07.13_10:02:48,rijybogq,0.25,1.7,0.0318,0.0318,2000,376,15000,5000,51.2553,0.7399,0.7398,0.74,0.5338,0.5776,0.5345,100000,15531,3173,991,2199,23.201,38.934,6704:755:1857:5684,2267:274:0:546:1913:0:0:0:1,86717:10103:783:2397,,
107,regressor,charmander,2020.07.13_10:03:56,rijybogq,0.25,1.7,0.0318,0.0318,2000,487,15000,5000,55.565,0.788,0.788,0.788,0.3433,0.373,0.3492,100000,15531,3173,431,1918,23.201,39.574,7304:193:2971:4532,2429:74:1000:1497,94056:2764:1257:1923,0.749927930533886,
108,relegator,charmander,2020.07.13_10:05:23,dwar0pii,0.25,1.7,0.0318,0.0318,2000,340,15000,5000,46.9049,0.7253,0.7251,0.7253,0.5503,0.5934,0.5559,100000,15374,3173,1864,2502,23.299,37.866,6446:1038:1533:5983,2146:370:0:470:2014:0:0:0:1,83840:12980:633:2547,,
109,regressor,charmander,2020.07.13_10:06:30,dwar0pii,0.25,1.7,0.0318,0.0318,2000,492,15000,5000,55.5231,0.7815,0.7814,0.7815,0.3447,0.3754,0.3487,100000,15374,3173,202,1683,23.299,38.764,7418:115:3543:3924,2430:37:1204:1329,95580:1240:1492:1688,0.7997111439704895,
110,relegator,charmander,2020.07.13_10:07:37,dwar0pii,0.25,1.7,0.0318,0.0318,2000,398,15000,5000,53.5258,0.7574,0.7573,0.7574,0.5492,0.5947,0.555,100000,15374,3173,1556,2432,23.299,38.510999999999996,6492:1041:1436:6031,2135:332:0:541:1992:0:0:0:1,83637:13183:616:2564,,
111,regressor,charmander,2020.07.13_10:08:48,dwar0pii,0.25,1.7,0.0318,0.0318,2000,526,15000,5000,59.7233,0.7763,0.7762,0.7763,0.3482,0.3784,0.3392,100000,15374,3173,321,1844,23.299,39.631,7322:180:3182:4316,2454:44:1025:1477,94834:1986:1330:1850,0.7599076175689696,
112,relegator,charmander,2020.07.13_10:10:04,dwar0pii,0.25,1.7,0.0318,0.0318,2000,456,15000,5000,62.4963,0.7464,0.7463,0.7464,0.5468,0.5876,0.5513,100000,15374,3173,1497,2423,23.299,38.7,6543:984:1539:5934,2138:335:0:538:1989:0:0:0:1,84553:12267:654:2526,,
113,regressor,charmander,2020.07.13_10:11:21,dwar0pii,0.25,1.7,0.0318,0.0318,2000,558,15000,5000,64.8381,0.7793,0.7793,0.7794,0.3494,0.3746,0.3345,100000,15374,3173,461,1976,23.299,40.028,7279:244:2891:4586,2411:66:936:1587,93953:2867:1197:1983,0.7300211966037751,
114,relegator,charmander,2020.07.13_10:12:38,dwar0pii,0.25,1.7,0.0318,0.0318,2000,466,15000,5000,63.08,0.7436,0.7435,0.7436,0.5343,0.5804,0.5501,100000,15374,3173,1213,2341,23.299,39.268,6599:919:1573:5909,2139:343:0:567:1951:0:0:0:1,84977:11843:667:2513,,
115,regressor,charmander,2020.07.13_10:13:42,dwar0pii,0.25,1.7,0.0318,0.0318,2000,467,15000,5000,52.4521,0.7722,0.7722,0.7723,0.346,0.3761,0.3456,100000,15374,3173,526,2026,23.299,40.105,7228:274:2778:4720,2409:89:920:1582,93498:3322:1147:2033,0.7100378209352494,
116,relegator,charmander,2020.07.13_10:14:52,dwar0pii,0.25,1.7,0.0318,0.0318,2000,414,15000,5000,56.8707,0.7217,0.7216,0.7218,0.5497,0.5943,0.5605,100000,15374,3173,1636,2457,23.299,38.405,6520:987:1560:5933,2151:342:0:525:1982:0:0:0:1,84424:12396:642:2538,,
117,regressor,charmander,2020.07.13_10:16:00,dwar0pii,0.25,1.7,0.0318,0.0318,2000,500,15000,5000,56.0919,0.7821,0.7821,0.7821,0.3464,0.3739,0.3471,100000,15374,3173,327,1854,23.299,39.699,7320:177:3199:4304,2447:56:1021:1476,94740:2080:1320:1860,0.7701196637749672,
118,relegator,charmander,2020.07.13_11:18:02,f87vbxmt,0.25,1.7,0.001,0.001,2000,433,15000,5000,60.4986,0.5501,0.5506,0.55,2.1044,2.0592,2.3102,100000,15811,98,0,4,0.777,2.0,481:0:6995:51:572:6901:0:0:0,171:0:2353:12:171:2293:0:0:1,6474:0:93426:0:5:95:0:0:0,,
119,regressor,charmander,2020.07.13_11:19:13,f87vbxmt,0.25,1.7,0.001,0.001,2000,486,15000,5000,57.5321,0.7812,0.7812,0.7812,0.3508,0.3769,0.3439,100000,15811,98,33,27,0.777,3.486,7470:23:5080:2427,2502:5:1685:808,99640:260:73:27,0.8897178617119789,
120,relegator,charmander,2020.07.13_11:20:31,f87vbxmt,0.25,1.7,0.001,0.001,2000,437,15000,5000,63.5016,0.6353,0.6356,0.6352,2.1767,2.0926,2.1096,100000,15811,98,0,3,0.777,1.732,4686:0:2786:4369:509:2650:0:0:0,1584:0:944:1437:171:864:0:0:1,63388:0:36512:62:4:34:0:0:0,,
121,regressor,charmander,2020.07.13_11:21:50,f87vbxmt,0.25,1.7,0.001,0.001,2000,429,15000,5000,66.2801,0.7591,0.7591,0.7592,0.345,0.3769,0.3579,100000,15811,98,77,39,0.777,3.6210000000000004,7437:45:4285:3233,2503:15:1406:1076,99344:556:61:39,0.8598163467645645,
122,relegator,charmander,2020.07.13_11:23:10,f87vbxmt,0.25,1.7,0.001,0.001,2000,449,15000,5000,64.2797,0.5056,0.506,0.5054,2.2428,2.2409,2.1211,100000,15811,98,0,3,0.777,1.732,0:0:7519:0:502:6979:0:0:0,0:0:2481:0:176:2343:0:0:1,0:0:99900:0:3:97:0:0:0,,
123,regressor,charmander,2020.07.13_11:24:18,f87vbxmt,0.25,1.7,0.001,0.001,2000,469,15000,5000,55.1933,0.7732,0.7731,0.7732,0.3516,0.3799,0.3396,100000,15811,98,86,37,0.777,3.3360000000000003,7464:42:4261:3233,2475:19:1397:1109,99337:563:63:37,0.8498715952038766,
124,relegator,charmander,2020.07.13_11:25:39,f87vbxmt,0.25,1.7,0.001,0.001,2000,463,15000,5000,65.8565,0.6229,0.6232,0.6228,2.2013,2.053,2.0813,100000,15811,98,0,3,0.777,1.732,4027:0:3521:1224:477:5751:0:0:0,1242:0:1210:438:167:1943:0:0:1,52730:0:47170:14:4:82:0:0:0,,
125,regressor,charmander,2020.07.13_11:26:54,f87vbxmt,0.25,1.7,0.001,0.001,2000,511,15000,5000,62.8222,0.7679,0.7678,0.7679,0.3456,0.3742,0.3554,100000,15811,98,38,30,0.777,3.638,7484:20:4865:2631,2486:10:1618:886,99596:304:70:30,0.8900553649663925,
126,relegator,charmander,2020.07.13_11:28:16,f87vbxmt,0.25,1.7,0.001,0.001,2000,469,15000,5000,66.86,0.3713,0.3716,0.3712,2.1601,2.1025,2.1211,100000,15811,98,0,4,0.777,2.0,0:0:7492:0:496:7012:0:0:0,0:0:2508:0:146:2346:0:0:1,0:0:99900:0:4:96:0:0:0,,
127,regressor,charmander,2020.07.13_11:29:25,f87vbxmt,0.25,1.7,0.001,0.001,2000,434,15000,5000,56.9986,0.7769,0.7769,0.777,0.3491,0.3755,0.3487,100000,15811,98,41,30,0.777,3.56,7529:18:4775:2678,2440:13:1612:935,99580:320:70:30,0.8799519717693329,
128,relegator,charmander,2020.07.13_11:55:42,sq2qzas1,0.25,1.7,0.001,0.001,2000,488,15000,5000,74.822,0.6638,0.6641,0.6637,1.8919,1.7832,1.8196,100000,15803,99,1,8,0.785,2.667,3692:0:3856:127:681:6644:0:0:0,1195:0:1257:33:237:2278:0:0:1,48703:2:51195:1:9:90:0:0:0,,
129,regressor,charmander,2020.07.13_11:57:06,sq2qzas1,0.25,1.7,0.001,0.001,2000,527,15000,5000,67.8371,0.7733,0.7733,0.7733,0.338,0.3664,0.3425,100000,15803,99,33,29,0.785,3.6830000000000003,7560:14:5374:2052,2423:3:1822:752,99725:175:70:30,0.9099531435966492,
130,relegator,charmander,2020.07.13_11:58:40,sq2qzas1,0.25,1.7,0.001,0.001,2000,475,15000,5000,79.5957,0.6098,0.6102,0.6097,1.9064,1.7624,1.8095,100000,15803,99,1,8,0.785,2.667,1366:0:6117:36:624:6857:0:0:0,430:0:2087:8:225:2250:0:0:1,17863:2:82035:0:10:90:0:0:0,,
131,regressor,charmander,2020.07.13_11:59:51,sq2qzas1,0.25,1.7,0.001,0.001,2000,479,15000,5000,58.067,0.7846,0.7846,0.7847,0.3384,0.3694,0.3453,100000,15803,99,27,27,0.785,3.674,7435:13:5398:2154,2550:2:1779:669,99755:145:72:28,0.9195674252510071,
132,relegator,charmander,2020.07.13_12:01:39,sq2qzas1,0.25,1.7,0.001,0.001,2000,497,15000,5000,83.0187,0.4563,0.4567,0.4562,1.8795,1.8103,1.8112,100000,15803,99,1,8,0.785,2.667,0:0:7511:0:668:6821:0:0:0,0:0:2489:0:220:2291:0:0:1,0:2:99898:0:10:90:0:0:0,,
133,regressor,charmander,2020.07.13_12:03:13,sq2qzas1,0.25,1.7,0.001,0.001,2000,435,15000,5000,79.6515,0.7594,0.7593,0.7595,0.3421,0.3712,0.3356,100000,15803,99,139,53,0.785,3.825,7406:54:3891:3649,2521:19:1232:1228,99083:817:46:54,0.8400286746025085,
134,relegator,charmander,2020.07.13_12:05:03,sq2qzas1,0.25,1.7,0.001,0.001,2000,550,15000,5000,90.7781,0.6005,0.6008,0.6004,1.7586,1.6777,1.8035,100000,15803,99,1,8,0.785,2.667,2354:0:5165:116:734:6631:0:0:0,771:0:1710:53:226:2240:0:0:1,31244:2:68654:3:9:88:0:0:0,,
135,regressor,charmander,2020.07.13_12:06:29,sq2qzas1,0.25,1.7,0.001,0.001,2000,489,15000,5000,70.863,0.7787,0.7786,0.7787,0.34,0.37,0.346,100000,15803,99,20,25,0.785,3.727,7428:5:5738:1829,2564:3:1858:575,99810:90:74:26,0.9398679786920546,
136,relegator,charmander,2020.07.13_12:08:02,sq2qzas1,0.25,1.7,0.001,0.001,2000,431,15000,5000,78.5192,0.6346,0.6352,0.6344,1.85,1.8292,1.8674,100000,15803,99,1,8,0.785,2.667,10:0:7497:0:710:6783:0:0:0,4:0:2489:0:233:2274:0:0:1,149:2:99749:0:10:90:0:0:0,,
137,regressor,charmander,2020.07.13_12:09:17,sq2qzas1,0.25,1.7,0.001,0.001,2000,486,15000,5000,63.537,0.7688,0.7688,0.7689,0.3408,0.3697,0.3458,100000,15803,99,28,27,0.785,3.641,7462:9:5496:2033,2523:6:1751:720,99755:145:72:28,0.9190311098098756,
138,relegator,charmander,2020.07.13_12:11:20,epdlxlu1,0.25,1.7,0.001,0.001,2000,498,15000,5000,77.198,0.6573,0.6577,0.6572,1.7519,1.7285,1.8516,100000,15980,100,0,9,0.789,3.0,2239:0:5224:151:834:6552:0:0:0,733:0:1804:28:240:2195:0:0:1,29096:2:70802:3:10:87:0:0:0,,
139,regressor,charmander,2020.07.13_12:12:33,epdlxlu1,0.25,1.7,0.001,0.001,2000,409,15000,5000,57.8122,0.755,0.7549,0.755,0.3461,0.3784,0.3565,100000,15980,100,71,43,0.789,4.027,7501:39:4411:3049,2449:11:1507:1033,99403:497:57:43,0.8696078237891197,
140,relegator,charmander,2020.07.13_12:14:11,epdlxlu1,0.25,1.7,0.001,0.001,2000,537,15000,5000,82.4622,0.65,0.6503,0.6499,1.8178,1.751,1.8237,100000,15980,100,0,7,0.789,2.6460000000000004,3999:0:3527:1987:763:4724:0:0:0,1285:0:1189:700:244:1582:0:0:1,53157:0:46743:24:8:68:0:0:0,,
141,regressor,charmander,2020.07.13_12:15:24,epdlxlu1,0.25,1.7,0.001,0.001,2000,419,15000,5000,58.3402,0.7687,0.7686,0.7687,0.3474,0.3782,0.3529,100000,15980,100,5,20,0.789,4.0,7540:2:5920:1538,2457:1:2041:501,99866:34:80:20,0.9599490725994112,
142,relegator,charmander,2020.07.13_12:17:01,epdlxlu1,0.25,1.7,0.001,0.001,2000,496,15000,5000,81.152,0.3282,0.3284,0.3281,1.7495,1.6876,1.8677,100000,15980,100,0,8,0.789,2.8280000000000003,0:0:7480:0:760:6760:0:0:0,0:0:2520:0:223:2257:0:0:1,0:1:99899:0:9:91:0:0:0,,
143,regressor,charmander,2020.07.13_12:18:18,epdlxlu1,0.25,1.7,0.001,0.001,2000,529,15000,5000,62.3001,0.7753,0.7753,0.7753,0.3441,0.3747,0.3557,100000,15980,100,7,24,0.789,4.311,7509:6:5675:1810,2483:2:1944:571,99821:79:76:24,0.9392745141779596,
144,relegator,charmander,2020.07.13_12:19:44,epdlxlu1,0.25,1.7,0.001,0.001,2000,483,15000,5000,71.8693,0.6765,0.6768,0.6764,1.7549,1.6977,1.7846,100000,15980,100,0,9,0.789,3.0,3840:0:3681:1116:800:5563:0:0:0,1315:0:1164:392:232:1897:0:0:1,51211:1:48688:13:10:77:0:0:0,,
145,regressor,charmander,2020.07.13_12:35:51,epdlxlu1,0.25,1.7,0.001,0.001,2000,422,15000,5000,55.5469,0.7442,0.7442,0.7443,0.3489,0.3782,0.3491,100000,15980,100,18,23,0.789,3.592,7508:10:5599:1883,2480:2:1878:640,99765:135:77:23,0.9299694117903708,
146,relegator,charmander,2020.07.13_13:51:21,epdlxlu1,0.25,1.7,0.001,0.001,2000,563,15000,5000,4515.4428,0.5725,0.5727,0.5724,1.6313,1.5916,1.7568,100000,15980,100,0,10,0.789,3.162,3082:0:4375:412:900:6231:0:0:0,1062:0:1481:111:249:2097:0:0:1,41461:2:58437:7:10:83:0:0:0,,
147,regressor,charmander,2020.07.13_14:07:25,epdlxlu1,0.25,1.7,0.001,0.001,2000,422,15000,5000,951.3509,0.7791,0.7791,0.7792,0.3486,0.3776,0.3502,100000,15980,100,66,40,0.789,3.885,7434:36:4533:2997,2524:6:1508:962,99466:434:60:40,0.8690815970301627,
148,relegator,charmander,2020.07.14_12:04:28,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,407,15000,5000,72.1758,0.7024,0.7026,0.7024,1.3142,1.3209,1.3539,100000,16148,315,0,35,2.455,5.916,7381:0:118:3984:947:2570:0:0:0,2458:0:43:1306:296:897:0:0:1,97944:4:1734:171:36:111:0:0:0,,
149,regressor,charmander,2020.07.14_12:05:38,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,445,15000,5000,58.0221,0.778,0.7779,0.778,0.3384,0.3678,0.3389,100000,16148,315,133,140,2.455,8.472999999999999,7471:55:3958:3516,2461:13:1307:1219,98856:826:177:141,0.8400444984436035,
150,relegator,charmander,2020.07.14_12:07:23,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,585,15000,5000,90.4799,0.5444,0.5445,0.5443,1.0822,1.0584,1.0714,100000,16148,315,1,40,2.455,6.247000000000001,5160:0:2375:533:1031:5901:0:0:0,1702:0:763:175:359:2001:0:0:1,67580:4:32098:26:42:250:0:0:0,,
151,regressor,charmander,2020.07.14_12:08:34,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,436,15000,5000,59.0101,0.7761,0.776,0.7761,0.3407,0.3684,0.3406,100000,16148,315,57,118,2.455,8.92,7451:21:4717:2811,2523:5:1521:951,99332:350:200:118,0.8799118602275848,
152,relegator,charmander,2020.07.14_12:10:09,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,530,15000,5000,81.5779,0.6357,0.6359,0.6356,1.0518,1.0272,1.0987,100000,16148,315,1,40,2.455,6.247000000000001,4906:0:2580:441:1069:6004:0:0:0,1664:0:850:153:323:2010:0:0:1,64540:4:35138:22:40:256:0:0:0,,
153,regressor,charmander,2020.07.14_12:11:20,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,445,15000,5000,58.9426,0.7623,0.7623,0.7624,0.3371,0.3698,0.341,100000,16148,315,198,155,2.455,8.25,7481:76:3540:3903,2419:24:1222:1335,98420:1262:162:156,0.8196472293138505,
154,relegator,charmander,2020.07.14_12:12:42,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,431,15000,5000,68.373,0.5559,0.5559,0.5559,1.3933,1.4121,1.3196,100000,16148,315,1,41,2.455,6.3260000000000005,6861:0:696:2448:1146:3849:0:0:0,2205:0:238:818:414:1325:0:0:1,89625:6:10051:113:47:158:0:0:0,,
155,regressor,charmander,2020.07.14_12:13:57,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,487,15000,5000,63.4337,0.7707,0.7706,0.7707,0.3368,0.3671,0.3437,100000,16148,315,129,148,2.455,8.892000000000001,7476:50:3816:3658,2454:20:1328:1198,98847:835:169:149,0.8398081016540527,
156,relegator,charmander,2020.07.14_12:15:12,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,442,15000,5000,61.0025,0.6941,0.6942,0.6941,1.2251,1.7885,1.3309,100000,16148,315,30,106,2.455,9.089,7158:19:323:2628:2816:2056:0:0:0,2407:10:83:898:905:697:0:0:1,94983:279:4420:115:118:85:0:0:0,,
157,regressor,charmander,2020.07.14_12:16:18,0ic34nyv,0.25,1.7,0.00318,0.00318,2000,485,15000,5000,54.9043,0.7798,0.7798,0.7799,0.3362,0.3693,0.34,100000,16148,315,127,142,2.455,8.658,7434:46:3981:3539,2507:13:1304:1176,98930:752:175:143,0.8499997213482857,
158,relegator,charmander,2020.07.14_12:17:58,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,440,15000,5000,60.4636,0.6527,0.6528,0.6527,1.3191,1.434,1.4591,100000,16064,315,1,54,2.461,7.281000000000001,7138:0:356:3586:1415:2505:0:0:0,2371:1:134:1245:420:829:0:0:1,95220:15:4447:161:65:92:0:0:0,,
159,regressor,charmander,2020.07.14_12:18:59,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,442,15000,5000,50.0855,0.7564,0.7564,0.7565,0.3476,0.3757,0.3358,100000,16064,315,121,148,2.461,9.024,7398:53:3996:3553,2538:11:1284:1167,98941:741:168:150,0.8400296020507813,
160,relegator,charmander,2020.07.14_12:20:36,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,615,15000,5000,82.9156,0.5091,0.5091,0.5091,1.0146,1.0052,1.0434,100000,16064,315,0,44,2.461,6.632999999999999,5081:0:2395:455:1150:5919:0:0:0,1680:0:844:155:373:1948:0:0:1,67320:5:32357:15:47:256:0:0:0,,
161,regressor,charmander,2020.07.14_12:21:31,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,384,15000,5000,43.2606,0.7339,0.7338,0.734,0.3438,0.3736,0.3511,100000,16064,315,27,87,2.461,8.148,7480:12:5357:2151,2507:1:1780:712,99514:168:230:88,0.9093765783309936,
162,relegator,charmander,2020.07.14_12:22:49,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,476,15000,5000,64.2616,0.4378,0.4381,0.4378,1.1169,1.0933,1.177,100000,16064,315,0,44,2.461,6.632999999999999,1628:0:5861:125:1089:6297:0:0:0,535:0:1976:30:361:2098:0:0:1,21842:5:77835:7:46:265:0:0:0,,
163,regressor,charmander,2020.07.14_12:23:44,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,378,15000,5000,43.3463,0.7533,0.7533,0.7534,0.3487,0.3761,0.3417,100000,16064,315,67,117,2.461,8.625,7507:26:4555:2912,2461:6:1526:1007,99283:399:200:118,0.8699565252661705,
164,relegator,charmander,2020.07.14_12:25:14,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,568,15000,5000,76.262,0.5219,0.5219,0.5218,1.045,1.03,1.0723,100000,16064,315,0,47,2.461,6.856,4920:0:2549:533:1127:5871:0:0:0,1647:0:884:156:385:1928:0:0:1,65797:6:33879:20:48:250:0:0:0,,
165,regressor,charmander,2020.07.14_12:26:23,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,505,15000,5000,57.6909,0.772,0.772,0.7721,0.3434,0.3679,0.3408,100000,16064,315,99,140,2.461,9.056000000000001,7430:48:4099:3423,2510:12:1352:1126,99027:655:177:141,0.8500271663069725,
166,relegator,charmander,2020.07.14_12:27:49,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,536,15000,5000,72.1666,0.6445,0.6446,0.6444,1.088,1.0717,1.1338,100000,16064,315,0,43,2.461,6.557,5258:0:2252:595:1097:5798:0:0:0,1723:0:767:190:357:1963:0:0:1,69896:5:29781:27:45:246:0:0:0,,
167,regressor,charmander,2020.07.14_12:29:01,bdt9uby5,0.25,1.7,0.00318,0.00318,2000,532,15000,5000,60.6166,0.7576,0.7576,0.7577,0.3401,0.3728,0.3475,100000,16064,315,11,72,2.461,7.903,7471:5:5773:1751,2523:1:1938:538,99616:66:245:73,0.9499596327543258,
168,relegator,charmander,2020.07.14_12:30:41,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,442,15000,5000,60.2131,0.6818,0.6819,0.6818,1.4386,1.5422,1.4712,100000,15997,317,7,60,2.4819999999999998,7.33,7413:5:29:4833:1638:1082:0:0:0,2541:2:10:1572:512:363:0:0:1,99208:54:420:206:71:41:0:0:0,,
169,regressor,charmander,2020.07.14_12:31:51,xgfz3i6a,0.25,1.7,0.00318,0.00318,2000,517,15000,5000,58.5213,0.7727,0.7726,0.7727,0.3389,0.3685,0.3447,100000,15997,317,101,148,2.4819999999999998,9.379,7461:50:4171:3318,2473:16:1359:1152,99052:630:170:148,0.8595910557324533,
