1000,0.25,0.9,0.01,200,88.0000,0.8227,0.8313,0.8360,0.3713,0.3387,0.3292,420,17,75,15,0.813,1.581
1000,0.25,0.9,0.05,200,111.0000,0.8200,0.8427,0.8600,0.3624,0.3347,0.3164,412,99,72,82,4.380,6.608
1000,0.25,0.9,0.05,200,79.0000,0.8333,0.8500,0.8440,0.3594,0.3334,0.3255,415,99,69,84,4.367,6.791
1000,0.25,0.9,0.05,200,101.0000,0.8373,0.8460,0.8580,0.3471,0.3189,0.3245,444,98,96,85,4.209,6.318
1000,0.25,0.9,0.05,200,75.0000,0.8360,0.8380,0.8260,0.3423,0.3275,0.3458,436,99,81,85,4.280,6.597
1000,0.25,0.9,0.05,200,88.0000,0.8193,0.8420,0.8300,0.3586,0.3215,0.3434,445,98,49,73,4.206,6.609
1000,0.25,0.9,0.05,200,91.0000,0.8360,0.8473,0.8480,0.3523,0.3180,0.3261,452,100,84,82,4.256,6.364
1000,0.25,0.9,0.05,200,89.0000,0.8287,0.8460,0.8400,0.3581,0.3267,0.3107,430,100,86,84,4.344,6.443
1000,0.25,0.9,0.05,200,90.0000,0.8227,0.8380,0.8420,0.3561,0.3272,0.3159,444,99,72,81,4.248,6.548
1000,0.25,0.9,0.05,200,99.0000,0.8307,0.8320,0.8240,0.3629,0.3433,0.3406,426,99,121,95,4.321,6.464
1000,0.25,0.9,0.05,200,83.0000,0.8253,0.8260,0.8340,0.3494,0.3333,0.3339,416,99,40,75,4.362,6.994
1000,0.25,0.9,0.05,200,92.0000,0.8360,0.8513,0.8260,0.3361,0.3076,0.3248,434,100,69,77,4.327,6.373
1000,0.25,0.9,0.05,200,77.0000,0.8267,0.8513,0.8000,0.3570,0.3145,0.3687,420,96,106,88,4.226,6.318
1000,0.25,0.9,0.05,200,69.0000,0.8187,0.8300,0.8360,0.3758,0.3466,0.3344,412,99,48,72,4.380,6.573
1000,0.25,0.9,0.05,200,99.0000,0.8213,0.8480,0.8440,0.3344,0.3199,0.3349,429,97,52,78,4.229,6.841
1000,0.25,0.9,0.05,200,75.0000,0.8253,0.8340,0.8500,0.3592,0.3412,0.3355,423,98,74,82,4.293,6.565
1000,0.25,0.9,0.05,200,83.0000,0.8220,0.8280,0.8480,0.3529,0.3386,0.3487,421,100,57,72,4.381,6.339
1000,0.25,0.9,0.05,200,88.0000,0.8247,0.8333,0.8400,0.3739,0.3470,0.3412,434,100,67,83,4.327,6.777
1000,0.25,0.9,0.05,200,68.0000,0.8227,0.8353,0.8400,0.3672,0.3368,0.3301,415,100,56,80,4.407,6.860
1000,0.25,0.9,0.05,200,71.0000,0.8193,0.8273,0.8360,0.3603,0.3395,0.3665,417,99,54,79,4.358,6.850
1000,0.25,0.9,0.05,200,62.0000,0.8387,0.8573,0.8060,0.3413,0.3069,0.3484,423,98,80,92,4.293,7.015
1000,0.25,0.9,0.01,200,85.0000,0.8220,0.8340,0.8280,0.3647,0.3329,0.3383,421,20,49,14,0.952,1.764
